requestId,owner,amountOfEEth_wei,amountOfEEth_ether,shareOfEEth_wei,isValid,owner_is_contract
20,0xd82A61246465E62Cf3e227a187c868cAF2fDa516,654321234318434104,0.654321,638750475073547018,True,False
388,0x1C8109e2EcD39D71F33b133Fae3af9253Cc46716,9999999999999999,0.010000,9742567703246251,True,False
478,0xdB9A040F0655f91E2Ae96D1F686D85ffD1DD4B6B,2100507924323508255,2.100508,2045796177918552256,True,False
714,0x623806c35bcf2B1cA8ceb2724C050b2707eA882b,40000000000000000,0.040000,38929688325888706,True,True
729,0x7754c5bd2CCc89af1aeA48722e8c38012AAA9987,999999999999998,0.001000,973163642591486,True,False
735,0x9cc0588796a85A61d267B8fBAF7487c29e0dF2E5,119999999999999998,0.120000,116779637110978598,True,False
815,0xef2Ad28a84c9fE4c2917A4f6bC5F801A8078fC5c,251235674461684499,0.251236,244437676959116817,True,False
861,0x2B7570171C213663d6030F14D4F95A7bF8a1B65a,81285528280555789,0.081286,79066742098866946,True,False
916,0x4aA279480F6Ba021bA6351d56867608b2e4eF9cc,49999999999999999,0.050000,48627840819162612,True,False
941,0xD7F4a593765e5ef9f4EbCd2c64753C86F6406930,9999999999999999,0.010000,9725186847504530,True,False
1067,0x8B2CCB1B79F4Ec8d0Beff63E508305B4F19C0239,99999999999999999,0.100000,97209881407188777,True,False
1154,0x1B6481ED69671B21Df68282fBA1DAFe8D4a47Edb,82169739047721467,0.082170,79854248900355842,True,False
1194,0x4666eC1e043eFB14c9103d936C434Fc4288e2194,120138743270118359,0.120139,116738976381653927,True,False
1321,0x21ecAF6f95B5D4a472469eDCD3b13E9efD4Ec154,1757390161128977,0.001757,1707323737218515,True,False
1446,0x30083B3036a4F3B59f4bE7Cb73b31ccb9cfe70B2,21932593859367977,0.021933,21304968889551010,True,False
1478,0x7cf13850eE0bB97B52674E5Df9685b1d5510A17E,5001312424960512,0.005001,4858034486514292,True,False
1582,0x712ed8b0b06AB02a23882ab4CA54f0F6286eBF9f,20001694363431766,0.020002,19426755363806671,True,False
1590,0x9dDAC6C981572aA3f4AB7ffa3D64356d94093206,999999999999999999,1.000000,971243965361725402,True,False
1591,0xD70C58d5E72B069F6793dd224660F1E94057D3cE,520000000000000000,0.520000,505046861988097209,True,False
1614,0x3C6d05Eb3cD72A4b7FB73D8c8a87564399BD3a45,999999999999999,0.001000,971243965361724,True,False
1715,0xeb8bf7A0d7b5C0a558eC68675100eC4Ff7e0A7c0,11710255161026064,0.011710,11371378053803846,True,False
1729,0x571712cD7145b8516B0942A778e20Acde05B99be,21393543568606199,0.021394,20774282422557195,True,False
1748,0xCd8F4037DEa97E90B30d4d1206F945c414bDa719,17024779643235557,0.017025,16531332740645308,True,False
1763,0xD34Dc85c6e67Cc93fd14091A5a437357B1291810,22535531931836740,0.022536,21882185335761405,True,False
